DisNo.,Depth,
2022-0334-CHN,,
2022-0342-AFG,,
2022-0342-PAK,,
2022-0411-CHN,,
2022-0430-PER,,
2022-0448-PHL,,
2022-0567-CHN,,
2022-0592-PNG,,
2022-0595-IDN,,
2022-0611-TWN,,
2022-0622-MEX,,
2022-0623-MEX,,
2022-0703-PHL,,
2022-0755-IDN,,
2022-0765-TUR,,
2022-0808-USA,,
2023-0006-IDN,,
2023-0047-IRN,,
2023-0073-IDN,,
2023-0091-SYR,,
2023-0091-TUR,,
2023-0107-SYR,,
2023-0107-TUR,,
2023-0156-AFG,,
2023-0156-PAK,,
2023-0169-IRN,,
2023-0189-PNG,,
2023-0268-CHN,,
2023-0279-JPN,,
2023-0323-FRA,,
2023-0378-IDN,,
2023-0522-CHN,,
2023-0660-AFG,,
2023-0739-PHL,,
2023-0762-PHL,,
2023-0791-PHL,,
2023-0838-CHN,,
2024-0001-JPN,,
2024-0035-CHN,,
2024-0035-KAZ,,
2024-0153-PNG,,
2024-0154-IDN,,
2024-0189-TWN,,
2024-0262-IDN,,
2024-0392-IRN,,
2024-0473-PER,,
2024-0585-PHL,,
2024-0688-IDN,,
2024-0751-TUR,,
2024-0848-CUB,,
