DisNo.,Disaster Subtype,External IDs,ISO,Magnitude,Date,Total Deaths,No. Injured,No. Homeless,No. Affected,Total Affected,Development
2000-0081-COL,Ground movement,USGS:usp000a373,COL,6.5,2000/11/8,2,,,430,430,0
2000-0111-MEX,Ground movement,USGS:usp0009y65,MEX,6.5,2000/8/9,,1,,,1,0
2000-0230-IDN,Ground movement,USGS:usp0009sbh,IDN,7.6,2000/5/4,45,270,52500,,52770,0
2000-0272-TUR,Ground movement,USGS:usp0009ska,TUR,4.5,2000/5/7,1,,,1000,1000,0
2000-0291-TUR,Ground movement,USGS:usp0009u3d,TUR,6,2000/6/6,2,80,,23000,23080,0
2000-0293-IDN,Ground movement,USGS:usp0009txx,IDN,6.7,2000/6/4,103,2714,2000,200000,204714,0
2000-0298-CHN,Ground movement,USGS:usp0009u46,CHN,5.6,2000/6/6,,20,80,,100,0
2000-0303-GRC,Ground movement,USGS:usp0009tg5,GRC,5.6,2000/5/26,,,,600,600,0
2000-0335-ISL,Ground movement,USGS:usp0009urh,ISL,6.5,2000/6/17,,1,33,57,91,1
2000-0387-NIC,Ground movement,USGS:usp0009vy1,NIC,5.4,2000/7/6,7,42,5650,1785,7477,0
2000-0428-JPN,Ground movement,USGS:usp0009vhb,JPN,6.1,2000/7/1,1,,,100,100,1
2000-0449-IDN,Ground movement,USGS:usp0009w9p,IDN,5.4,2000/7/12,,124,4000,,4124,0
2000-0480-RUS,Ground movement,USGS:usp0009xws,RUS,6.8,2000/8/4,,8,19100,,19108,0
2000-0527-CHN,Ground movement,USGS:usp0009yvr,CHN,4.9,2000/8/21,1,211,177400,,177611,0
2000-0598-USA,Ground movement,USGS:usp0009zmm,USA,4.9,2000/9/3,,70,104,25000,25174,1
2000-0653-TZA,Ground movement,USGS:usp000a14k,TZA,6.5,2000/10/2,1,6,35,750,791,0
2000-0656-JPN,Ground movement,USGS:usp000a1b0,JPN,6.7,2000/10/6,,130,312,6690,7132,1
2000-0743-TJK,Ground movement,USGS:usp000a2se,TJK,4.8,2000/10/30,,,,6000,6000,0
2000-0749-PNG,Ground movement,USGS:usp000a3qq,PNG,8,2000/11/16,2,,5000,,5000,0
2000-0761-IDN,Ground movement,USGS:usp000a2ck,IDN,6.8,2000/10/25,,,,5500,5500,0
