DisNo.,Disaster Subtype,External IDs,ISO,Magnitude,Date,Total Deaths,No. Injured,No. Homeless,No. Affected,Total Affected,Development,Depth
2002-0692-PAK,Ground movement,USGS:usp000bfug,PAK,5.4,2002/11/2,17.0,65.0,4000.0,11000.0,15065.0,0.0,33.0
2002-0721-PAK,Ground movement,USGS:usp000bj2e,PAK,6.3,2002/11/20,19.0,40.0,,140742.0,140782.0,0.0,33.0
2002-0757-GRC,Ground movement,USGS:usp000bjwy,GRC,5.7,2002/12/2,,17.0,,150.0,167.0,1.0,10.0
2002-0770-VUT,Ground movement,USGS:usp000bjhn,VUT,5.9,2002/11/27,,3.0,,500.0,503.0,0.0,33.0
2002-0804-IRN,Ground movement,USGS:usp000bmbe,IRN,5.2,2002/12/24,,15.0,,15000.0,15015.0,0.0,33.0
2002-0820-IDN,Ground movement,USGS:usp000bcqu,IDN,6.4,2002/9/20,,,,155.0,155.0,0.0,10.0
2002-0821-IRN,Ground movement,USGS:usp000bd44,IRN,5.6,2002/9/25,,5.0,,,5.0,0.0,10.0
2002-0822-IDN,Ground movement,USGS:usp000bfuz,IDN,7.4,2002/11/2,3.0,60.0,,,60.0,0.0,30.0
2002-0835-CHN,Ground movement,USGS:usp000bkpm,CHN,5.6,2002/12/14,2.0,,,65500.0,65500.0,0.0,22.0
2002-0882-ITA,Ground movement,USGS:usp000bbb2,ITA,6.0,2002/9/6,2.0,,,,,1.0,5.0
2003-0039-MEX,Ground movement,USGS:usp000bnyr,MEX,7.6,2003/1/22,29.0,1073.0,,177530.0,178603.0,0.0,24.0
2003-0050-TUR,Ground movement,USGS:usp000bpa1,TUR,6.1,2003/1/27,1.0,2.0,,,2.0,0.0,10.0
